51100,Audit Fees
51125,Legal Fees
51200,Professional Services*
51275,Contracts
51300,Insurance & Appraisals
51450,Repairs & Maintenance
51800,Rental Equipment
51825,Building Rental
51850,Equipment
51875,Furnishings
52125,Property Taxes
53000,Utilities
57150,Promotion
53200,Telephone
53500,Motor Vehicle Expense
54000,Awards*
54050,Prizes*
54100,Student Awards*
54125,Faculty & Staff Awards
54200,Donations
55000,Software Maintenance Fee
55100,Software
55500,Decorations
55550,Flowers & Gifts
55600,Meals & Entertainment
55700,Supplies
55750,Postage
55800,Printing
55850,Shipping - Freight
55900,Casual Labor*
56100,Books & Subscriptions
56125,Dues & Membership
56150,Registration
58000,Travel
59100,Advertisement
59902,GCSU Operating Expense
59904,GCSU Salaries
59905,GCSU Scholarships
